Ticker,Option Type,Expiration,Strike,Underlying Price,Current Premium,Underlying Gain %,Premium % Gain,Implied Volatility,Bid Date,Volume
ulta,call,2026-03-20,700.0,526.06,8.25,-10.0,-86.75,30.52,2025-08-26 19:59:13,0.0
adsk,call,2026-03-20,370.0,282.45,5.45,-10.0,-93.14,27.45,2025-08-26 20:00:00,0.0
adsk,call,2026-03-20,360.0,282.45,6.2,-10.0,-92.54,26.57,2025-08-26 19:59:56,0.0
gap,call,2026-03-20,28.0,21.58,1.15,-10.0,-64.34,47.29,2025-08-26 19:59:57,0.0
gap,call,2026-03-20,29.0,21.58,1.01,-10.0,-67.69,47.27,2025-08-26 19:59:59,0.0
baba,call,2026-02-20,160.0,124.19,4.5,-10.0,-77.08,42.01,2025-08-26 19:59:59,586.0
baba,call,2026-02-20,165.0,124.19,3.97,-10.0,-79.48,42.43,2025-08-26 19:59:59,7.0
baba,call,2026-03-20,160.0,124.19,5.4,-10.0,-69.38,42.15,2025-08-26 19:59:59,6.0
baba,call,2026-03-20,165.0,124.19,4.75,-10.0,-71.15,42.65,2025-08-26 19:59:59,5.0
nvda,put,2026-02-20,145.0,181.77,5.77,15.0,-75.88,43.48,2025-08-26 19:59:59,6.0
nvda,put,2026-02-20,150.0,181.77,6.88,15.0,-74.26,42.78,2025-08-26 20:00:01,67.0
nvda,put,2026-03-20,145.0,181.77,7.0,15.0,-69.75,44.1,2025-08-26 19:59:59,103.0
nvda,put,2026-03-20,150.0,181.77,8.21,15.0,-68.22,43.43,2025-08-26 20:00:00,355.0
crwd,put,2026-02-20,330.0,417.6,12.75,15.0,-77.6,43.23,2025-08-26 19:59:59,0.0
crwd,put,2026-02-20,340.0,417.6,14.4,15.0,-75.36,42.63,2025-08-26 19:59:59,16.0
crwd,put,2026-03-20,330.0,417.6,15.34,15.0,-70.2,44.24,2025-08-26 19:59:59,16.0
crwd,put,2026-03-20,340.0,417.6,18.19,15.0,-68.22,44.26,2025-08-26 19:59:59,17.0
snow,put,2026-02-20,155.0,194.35,7.2,15.0,-72.83,46.46,2025-08-26 19:59:59,20.0
snow,put,2026-02-20,160.0,194.35,8.35,15.0,-66.28,47.82,2025-08-26 19:59:59,0.0
snow,put,2026-03-20,155.0,194.35,9.08,15.0,-65.42,48.23,2025-08-26 19:59:59,0.0
snow,put,2026-03-20,160.0,194.35,10.65,15.0,-63.59,48.12,2025-08-26 19:59:59,110.0
five,put,2026-02-20,115.0,141.98,8.8,15.0,-76.91,49.35,2025-08-26 19:59:13,0.0
five,put,2026-02-20,110.0,141.98,5.45,15.0,-71.19,50.43,2025-08-26 19:59:57,0.0
five,put,2026-03-20,115.0,141.98,8.01,15.0,-64.39,49.87,2025-08-26 19:59:59,0.0
five,put,2026-03-20,110.0,141.98,7.55,15.0,-69.11,51.25,2025-08-26 19:59:28,0.0
bby,put,2026-03-20,60.0,73.67,3.05,15.0,-72.36,42.02,2025-08-26 19:59:57,0.0
bby,put,2026-03-20,57.5,73.67,2.54,15.0,-76.66,42.09,2025-08-26 19:59:56,10.0
dg,put,2026-02-20,90.0,110.5,2.85,15.0,-82.86,36.86,2025-08-26 20:00:00,2.0
dg,put,2026-02-20,85.0,110.5,2.83,15.0,-90.03,37.66,2025-08-26 19:59:59,0.0
dg,put,2026-03-20,90.0,110.5,3.4,15.0,-75.34,37.96,2025-08-26 19:59:59,0.0
dg,put,2026-03-20,85.0,110.5,3.5,15.0,-84.38,39.0,2025-08-26 19:59:59,0.0
dks,put,2026-03-20,180.0,226.81,15.4,15.0,-85.47,42.73,2025-08-26 19:59:59,0.0
dks,put,2026-03-20,185.0,226.81,24.9,15.0,-88.52,42.97,2025-08-26 19:59:54,0.0
dell,put,2026-03-20,105.0,130.99,5.5,15.0,-70.07,44.54,2025-08-26 20:00:00,3.0
dell,put,2026-03-20,100.0,130.99,4.38,15.0,-72.15,45.48,2025-08-26 19:59:58,13.0
afrm,put,2026-02-20,62.5,77.95,6.95,15.0,-54.07,71.08,2025-08-26 20:00:00,0.0
afrm,put,2026-02-20,60.0,77.95,5.89,15.0,-54.29,71.81,2025-08-26 20:00:00,2.0
afrm,put,2026-03-20,62.5,77.95,8.6,15.0,-55.94,69.53,2025-08-26 20:00:00,0.0
afrm,put,2026-03-20,60.0,77.95,6.18,15.0,-47.49,70.25,2025-08-26 20:00:00,0.0
mrvl,put,2026-02-20,60.0,74.26,3.85,15.0,-66.58,52.4,2025-08-26 20:00:00,17.0
mrvl,put,2026-03-20,60.0,74.26,4.6,15.0,-60.1,53.53,2025-08-26 20:00:00,13.0
ulta,put,2026-03-20,420.0,526.06,13.09,15.0,-79.16,36.46,2025-08-26 19:59:58,4.0
ulta,put,2026-03-20,425.0,526.06,14.6,15.0,-77.9,36.83,2025-08-26 19:59:57,5.0
adsk,put,2026-03-20,230.0,282.45,5.9,15.0,-81.55,32.86,2025-08-26 19:59:59,0.0
adsk,put,2026-03-20,220.0,282.45,3.45,15.0,-77.13,34.11,2025-08-26 19:59:55,0.0
gap,put,2026-03-20,17.0,21.58,1.28,15.0,-69.12,51.24,2025-08-26 19:59:50,0.0
gap,put,2026-03-20,18.0,21.58,1.51,15.0,-64.09,50.43,2025-08-26 19:59:59,0.0
baba,put,2026-02-20,100.0,124.19,2.87,15.0,-84.8,36.16,2025-08-26 19:59:59,41.0
baba,put,2026-02-20,95.0,124.19,1.94,15.0,-87.52,36.41,2025-08-26 19:59:59,0.0
baba,put,2026-03-20,100.0,124.19,3.32,15.0,-81.06,35.61,2025-08-26 19:59:59,3.0
baba,put,2026-03-20,97.5,124.19,5.25,15.0,NA,0.0,,0.0
